EventID,Time_UTC,Lat,Lon,Depth_km,MagType,Mag,Region
20260608_0000510,2026-06-08T23:51:02.0Z,5.27,125.83,10.0,m,4.0,MINDANAO, PHILIPPINES
20260609_0000006,2026-06-09T00:41:10.0Z,5.65,125.06,77.0,m,3.8,MINDANAO, PHILIPPINES
20260609_0000009,2026-06-09T00:49:06.0Z,4.95,125.71,11.0,m,3.7,KEPULAUAN SANGIHE, INDONESIA
20260609_0000017,2026-06-09T00:58:30.0Z,4.51,125.12,7.0,m,3.0,KEPULAUAN SANGIHE, INDONESIA
20260609_0000021,2026-06-09T01:06:32.0Z,5.49,125.29,18.0,m,3.7,MINDANAO, PHILIPPINES
20260609_0000040,2026-06-09T01:18:56.34Z,5.5924,125.284,35.0,mb,4.6,MINDANAO, PHILIPPINES
20260609_0000036,2026-06-09T01:32:31.0Z,5.59,124.88,10.0,m,4.2,MINDANAO, PHILIPPINES
20260609_0000041,2026-06-09T01:44:55.0Z,5.33,125.36,10.0,m,3.8,MINDANAO, PHILIPPINES
20260609_0000050,2026-06-09T02:20:55.0Z,5.65,124.14,204.0,m,4.2,MINDANAO, PHILIPPINES
20260609_0000054,2026-06-09T02:31:19.0Z,5.53,125.53,10.0,m,3.4,MINDANAO, PHILIPPINES
20260609_0000066,2026-06-09T03:01:46.0Z,4.91,125.57,4.0,m,4.4,KEPULAUAN SANGIHE, INDONESIA
20260609_0000070,2026-06-09T03:21:03.0Z,5.28,125.42,6.0,m,3.6,MINDANAO, PHILIPPINES
20260609_0000072,2026-06-09T03:32:57.0Z,4.53,125.76,3.0,m,3.5,KEPULAUAN SANGIHE, INDONESIA
20260609_0000076,2026-06-09T03:53:31.0Z,5.31,125.95,10.0,m,3.9,MINDANAO, PHILIPPINES
20260609_0000079,2026-06-09T04:11:52.0Z,5.43,125.52,10.0,m,4.0,MINDANAO, PHILIPPINES
20260609_0000087,2026-06-09T04:35:26.0Z,4.95,125.49,10.0,m,3.8,KEPULAUAN SANGIHE, INDONESIA
